# zig-webp lossless encode report: encoded size, round-trip, and digest per source.
# Regenerate with `zig build encode-report -- testdata/encode-corpus-sizes.tsv`.
family	name	width	height	format	raw_bytes	encoded_bytes	bpp	psnr_db	roundtrip	sha256
synthetic	flat_1x1_rgb	1	1	rgb	3	36	288.0000	inf	ok	f8b46d744b0a1f2a5359edb9f94794c051bb74191057c2a22325202f82773fad
synthetic	gradient_1x1_rgba	1	1	rgba	4	36	288.0000	inf	ok	8dd77e8e6e27a340cb2750f7e0632d8aba44236dc53c92f63f7bfc40e3a6e57b
synthetic	gradient_1x17_rgb	1	17	rgb	51	74	34.8235	inf	ok	2ed3eaf4a2833e81d642f205503b314d3d15f9f1910f5d8e1020ff878336290b
synthetic	bars_17x1_rgb	17	1	rgb	51	88	41.4118	inf	ok	400fadf6e9fd9512989346ce4d0dc37e43bc716cded1a89dbee454a373606a49
synthetic	checker_7x7_rgb	7	7	rgb	147	50	8.1633	inf	ok	5706e63dfc953ba0b902626e49505a22c889afd35d11574a65c6b2984c0f3266
synthetic	alpha_transparent_5x5_rgba	5	5	rgba	100	84	26.8800	inf	ok	67300af403ceec7bc60daa980a6e2a51b204b47a6d932a53c3acb45ea317a83f
synthetic	gradient_16x16_rgb	16	16	rgb	768	474	14.8125	inf	ok	cf78bdfb880eb9c3d93dfa29e9be729f13a98d69bb7fed395a21d62fe3663ddb
synthetic	checker_16x16_rgb	16	16	rgb	768	46	1.4375	inf	ok	7fbc5a0364563aa4187625efa1146a637c9a6a830823f0a82dda459781092b33
synthetic	gradient_17x17_rgb	17	17	rgb	867	68	1.8824	inf	ok	8ea70c14ac4b7f2d74cc3ecfbd4ebeca5dcf3b671bd3d2e209138a7e1e007861
synthetic	checker_17x17_rgba	17	17	rgba	1156	52	1.4394	inf	ok	ef62c6dee7aef944ab1501b168bb1d4c6cf8c6e0625a346a0814bd097e20e565
synthetic	bars_15x15_rgb	15	15	rgb	675	84	2.9867	inf	ok	95f483d5eb02781495f29a91b563a829ea3ee8c2d2917cb8d719f9395db4eaa8
synthetic	gradient_16x17_rgb	16	17	rgb	816	66	1.9412	inf	ok	d56e7dd23eecd6a12e21fdd172ffba9705237fc84b0d8a919e272b5b60ae60cf
synthetic	noise_17x16_rgb	17	16	rgb	816	994	29.2353	inf	ok	f2453fb7bcdfa90c57a6c19cfa30b106b3e5ebba8d42418907a1841c6e245215
synthetic	grayscale_ramp_16x16_rgb	16	16	rgb	768	66	2.0625	inf	ok	24417f2dc3fa3ddbcea2d4c0f9326f9947f6736ca2011803185e1c574f9e0f12
synthetic	noise_23x31_rgb	23	31	rgb	2139	2344	26.3001	inf	ok	52ca9c802ba5d6c70ce8bdf863358a8b77bbbbd8f6decdc65dafb75eb9a7925f
synthetic	radial_32x32_rgb	32	32	rgb	3072	648	5.0625	inf	ok	04f37465cc406a10ca5fd371417e16c53658f768f6422cef163df57a7c41f432
synthetic	two_tone_31x17_rgb	31	17	rgb	1581	50	0.7590	inf	ok	553725605180323079770bd4498203811991b504d65cb55b92a9f023c03e84b4
